Time (ms),Name,Value
11798,"getRPMbottom","-30.870269775390625"
11834,"getRPMbottom","-31.672119140625"
11851,"getRPMbottom","-35.26356506347656"
11868,"getRPMbottom","-35.021820068359375"
11883,"getRPMbottom","-35.05450439453125"
11910,"getRPMbottom","-37.2939453125"
11924,"getRPMbottom","-39.211639404296875"
11943,"getRPMbottom","-39.57182312011719"
11971,"getRPMbottom","-35.79994201660156"
11984,"getRPMbottom","-36.02677917480469"
12014,"getRPMbottom","-37.64776611328125"
12051,"getRPMbottom","-26.489181518554688"
12079,"getRPMbottom","-25.717681884765625"
12108,"getRPMbottom","-19.679611206054688"
12122,"getRPMbottom","-15.824874877929688"
12143,"getRPMbottom","-8.995819091796875"
12181,"getRPMbottom","4.5231170654296875"
12208,"getRPMbottom","11.633956909179688"
12245,"getRPMbottom","13.924423217773438"
12275,"getRPMbottom","13.814132690429688"
12313,"getRPMbottom","9.565994262695312"
12355,"getRPMbottom","5.4911041259765625"
12441,"getRPMbottom","0.0"
12504,"getRPMbottom","-6.9503936767578125"
12554,"getRPMbottom","-7.0492401123046875"
12577,"getRPMbottom","-8.043792724609375"
12580,"getRPMbottom","-9.465927124023438"
12614,"getRPMbottom","-16.481353759765625"
12628,"getRPMbottom","-23.409255981445312"
12644,"getRPMbottom","-29.979721069335938"
12672,"getRPMbottom","-29.854873657226562"
12691,"getRPMbottom","-33.69853210449219"
12703,"getRPMbottom","-38.318572998046875"
12747,"getRPMbottom","-40.33497619628906"
12748,"getRPMbottom","-42.863494873046875"
12764,"getRPMbottom","-48.00910949707031"
12784,"getRPMbottom","-50.15736389160156"
12825,"getRPMbottom","-47.25450134277344"
12854,"getRPMbottom","-45.56144714355469"
12872,"getRPMbottom","-41.30523681640625"
12885,"getRPMbottom","-36.716278076171875"
12915,"getRPMbottom","-34.557525634765625"
13008,"getRPMbottom","-33.08232116699219"
13008,"getRPMbottom","-31.128280639648438"
13009,"getRPMbottom","-29.489715576171875"
13009,"getRPMbottom","-31.549224853515625"
13032,"getRPMbottom","-31.275039672851562"
13045,"getRPMbottom","-29.217010498046875"
13068,"getRPMbottom","-27.190338134765625"
13118,"getRPMbottom","-25.568252563476562"
13118,"getRPMbottom","-23.39776611328125"
13158,"getRPMbottom","-19.802078247070312"
13169,"getRPMbottom","-12.010711669921875"
13186,"getRPMbottom","12.010711669921875"
13241,"getRPMbottom","3.34124755859375"
13241,"getRPMbottom","12.531204223632812"
13271,"getRPMbottom","16.419036865234375"
13288,"getRPMbottom","18.314254760742188"
13302,"getRPMbottom","18.818832397460938"
13348,"getRPMbottom","15.727157592773438"
13367,"getRPMbottom","12.883316040039062"
13410,"getRPMbottom","12.397613525390625"
13417,"getRPMbottom","11.178634643554688"
13447,"getRPMbottom","8.179733276367188"
13540,"getRPMbottom","-1.724761962890625"
13571,"getRPMbottom","-6.1478271484375"
13571,"getRPMbottom","-11.270721435546875"
13589,"getRPMbottom","-12.773040771484375"
13615,"getRPMbottom","-15.568496704101562"
13654,"getRPMbottom","-23.800384521484375"
13659,"getRPMbottom","-27.565872192382812"
13687,"getRPMbottom","-31.006668090820312"
13741,"getRPMbottom","-21.735885620117188"
13742,"getRPMbottom","-25.1981201171875"
13742,"getRPMbottom","-26.477874755859375"
13779,"getRPMbottom","-35.67256164550781"
13811,"getRPMbottom","-38.0078125"
13823,"getRPMbottom","-40.91862487792969"
13845,"getRPMbottom","-46.22967529296875"
13886,"getRPMbottom","-49.7447509765625"
13907,"getRPMbottom","-50.12812805175781"
13922,"getRPMbottom","-52.25068664550781"
13948,"getRPMbottom","-52.50067138671875"
13964,"getRPMbottom","-53.318389892578125"
13993,"getRPMbottom","-52.14646911621094"
14024,"getRPMbottom","-41.82286071777344"
14074,"getRPMbottom","-40.400360107421875"
14074,"getRPMbottom","-38.0040283203125"
14090,"getRPMbottom","-33.96379089355469"
14112,"getRPMbottom","-29.86322021484375"
14155,"getRPMbottom","-28.348876953125"
14155,"getRPMbottom","-26.540328979492188"
14181,"getRPMbottom","-20.895370483398438"
14186,"getRPMbottom","-17.30926513671875"
14214,"getRPMbottom","-11.34930419921875"
14259,"getRPMbottom","11.34930419921875"
14287,"getRPMbottom","1.825225830078125"
14320,"getRPMbottom","4.7314910888671875"
14369,"getRPMbottom","4.42724609375"
14409,"getRPMbottom","3.2189788818359375"
14527,"getRPMbottom","0.0"
14663,"getRPMbottom","-6.4986724853515625"
14701,"getRPMbottom","-12.533203125"
14704,"getRPMbottom","-12.256072998046875"
14739,"getRPMbottom","-12.83172607421875"
14751,"getRPMbottom","-13.084716796875"
14769,"getRPMbottom","-16.018035888671875"
14808,"getRPMbottom","-22.38055419921875"
14821,"getRPMbottom","-23.92144775390625"
14851,"getRPMbottom","-24.628189086914062"
14864,"getRPMbottom","-24.629776000976562"
14892,"getRPMbottom","-25.604827880859375"
14929,"getRPMbottom","-32.26768493652344"
14942,"getRPMbottom","-38.12628173828125"
14978,"getRPMbottom","-45.6370849609375"
15021,"getRPMbottom","-52.646820068359375"
15022,"getRPMbottom","-52.52134704589844"
15122,"getRPMbottom","-52.350189208984375"
15123,"getRPMbottom","-52.10978698730469"
15123,"getRPMbottom","-51.119842529296875"
15184,"getRPMbottom","-42.783721923828125"
15184,"getRPMbottom","-39.81407165527344"
15185,"getRPMbottom","-40.05506896972656"
15234,"getRPMbottom","-33.93266296386719"
15234,"getRPMbottom","-30.496749877929688"
15244,"getRPMbottom","-23.794448852539062"
15279,"getRPMbottom","-20.456634521484375"
15284,"getRPMbottom","-18.867446899414062"
15314,"getRPMbottom","-15.598373413085938"
15328,"getRPMbottom","-12.839340209960938"
15370,"getRPMbottom","4.5404205322265625"
15408,"getRPMbottom","4.9311676025390625"
15424,"getRPMbottom","7.0789794921875"
15445,"getRPMbottom","8.122589111328125"
15478,"getRPMbottom","8.840530395507812"
15510,"getRPMbottom","8.399795532226562"
15524,"getRPMbottom","6.4334259033203125"
15580,"getRPMbottom","2.8463897705078125"
15658,"getRPMbottom","-2.8463897705078125"
15686,"getRPMbottom","0.0"
15870,"getRPMbottom","-10.748779296875"
15888,"getRPMbottom","-15.271774291992188"
15908,"getRPMbottom","-15.846603393554688"
15926,"getRPMbottom","-13.89056396484375"
15946,"getRPMbottom","-10.847640991210938"
15960,"getRPMbottom","-11.183944702148438"
15987,"getRPMbottom","-7.10040283203125"
16063,"getRPMbottom","-1.9284515380859375"
16105,"getRPMbottom","-7.5042266845703125"
16106,"getRPMbottom","-20.158187866210938"
16127,"getRPMbottom","-22.7120361328125"
16149,"getRPMbottom","-36.810546875"
16161,"getRPMbottom","-39.4658203125"
16186,"getRPMbottom","-40.634918212890625"
16207,"getRPMbottom","-39.95365905761719"
16229,"getRPMbottom","-41.686859130859375"
16247,"getRPMbottom","-39.48628234863281"
16281,"getRPMbottom","-39.74937438964844"
16293,"getRPMbottom","-41.46968078613281"
16314,"getRPMbottom","-38.75236511230469"
16329,"getRPMbottom","-33.48779296875"
16345,"getRPMbottom","-36.47221374511719"
16361,"getRPMbottom","-31.899063110351562"
16390,"getRPMbottom","-26.620071411132812"
16410,"getRPMbottom","-22.932952880859375"
16428,"getRPMbottom","-18.342727661132812"
16448,"getRPMbottom","-13.7498779296875"
16473,"getRPMbottom","-13.619888305664062"
16486,"getRPMbottom","-15.82122802734375"
16507,"getRPMbottom","-17.002243041992188"
16531,"getRPMbottom","-17.956253051757812"
16558,"getRPMbottom","-19.276870727539062"
16562,"getRPMbottom","-17.969573974609375"
16583,"getRPMbottom","-15.996322631835938"
16624,"getRPMbottom","-14.312667846679688"
16624,"getRPMbottom","-11.111282348632812"
16651,"getRPMbottom","11.111282348632812"
16691,"getRPMbottom","10.0794677734375"
16703,"getRPMbottom","12.713546752929688"
16745,"getRPMbottom","16.766326904296875"
16768,"getRPMbottom","14.688980102539062"
16781,"getRPMbottom","12.617599487304688"
16809,"getRPMbottom","11.685958862304688"
16835,"getRPMbottom","8.844314575195312"
16945,"getRPMbottom","0.0"
17516,"getRPMbottom","-12.069747924804688"
17532,"getRPMbottom","-17.81732177734375"
17554,"getRPMbottom","-24.781997680664062"
17587,"getRPMbottom","-30.917510986328125"
17588,"getRPMbottom","-36.92881774902344"
17619,"getRPMbottom","-40.02140808105469"
17645,"getRPMbottom","-51.62355041503906"
17676,"getRPMbottom","-59.40049743652344"
17703,"getRPMbottom","-70.08322143554688"
17751,"getRPMbottom","-76.11869812011719"
17751,"getRPMbottom","-83.52125549316406"
17769,"getRPMbottom","-89.20108032226562"
17786,"getRPMbottom","-76.60853576660156"
17817,"getRPMbottom","-73.87298583984375"
17842,"getRPMbottom","-69.323486328125"
17855,"getRPMbottom","-60.81755065917969"
17884,"getRPMbottom","-51.82621765136719"
17893,"getRPMbottom","-44.12892150878906"
17913,"getRPMbottom","-36.37272644042969"
17929,"getRPMbottom","-25.82452392578125"
17969,"getRPMbottom","-16.798751831054688"
18008,"getRPMbottom","4.3027801513671875"
18023,"getRPMbottom","6.805145263671875"
18074,"getRPMbottom","14.989608764648438"
18081,"getRPMbottom","17.656539916992188"
18125,"getRPMbottom","16.088958740234375"
18149,"getRPMbottom","15.975234985351562"
18170,"getRPMbottom","15.697998046875"
18222,"getRPMbottom","16.314971923828125"
18223,"getRPMbottom","13.10870361328125"
18250,"getRPMbottom","10.990951538085938"
18284,"getRPMbottom","-2.787689208984375"
18317,"getRPMbottom","-8.227554321289062"
18350,"getRPMbottom","-36.17633056640625"
18369,"getRPMbottom","-49.511077880859375"
18383,"getRPMbottom","-51.729705810546875"
18443,"getRPMbottom","-53.13142395019531"
18443,"getRPMbottom","-52.46968078613281"
18444,"getRPMbottom","-54.484039306640625"
18474,"getRPMbottom","-53.48844909667969"
18510,"getRPMbottom","-53.992034912109375"
18530,"getRPMbottom","-50.703826904296875"
18547,"getRPMbottom","-44.98046875"
18566,"getRPMbottom","-46.488372802734375"
18585,"getRPMbottom","-48.515716552734375"
18621,"getRPMbottom","-51.04937744140625"
18673,"getRPMbottom","-50.90711975097656"
18696,"getRPMbottom","-51.184600830078125"
18708,"getRPMbottom","-49.75495910644531"
18727,"getRPMbottom","-46.556549072265625"
18761,"getRPMbottom","-41.723388671875"
18794,"getRPMbottom","-19.352828979492188"
18822,"getRPMbottom","-14.369659423828125"
19094,"getRPMbottom","3.62396240234375"
19096,"getRPMbottom","13.35516357421875"
19097,"getRPMbottom","17.129913330078125"
19116,"getRPMbottom","17.7679443359375"
19116,"getRPMbottom","3.294036865234375"
19130,"getRPMbottom","-2.664154052734375"
19163,"getRPMbottom","-22.121200561523438"
19164,"getRPMbottom","-33.154296875"
19184,"getRPMbottom","-37.98454284667969"
19224,"getRPMbottom","-44.87828063964844"
19258,"getRPMbottom","-48.285552978515625"
19292,"getRPMbottom","-52.362518310546875"
19336,"getRPMbottom","-54.304290771484375"
19336,"getRPMbottom","-60.774566650390625"
19350,"getRPMbottom","-64.23225402832031"
19365,"getRPMbottom","-61.744110107421875"
19384,"getRPMbottom","-61.624267578125"
19420,"getRPMbottom","-60.9078369140625"
19455,"getRPMbottom","-56.45172119140625"
19484,"getRPMbottom","-50.28788757324219"
19516,"getRPMbottom","-44.88130187988281"
19549,"getRPMbottom","-39.260711669921875"
19560,"getRPMbottom","-34.36381530761719"
19602,"getRPMbottom","-22.309219360351562"
19603,"getRPMbottom","-20.551864624023438"
19626,"getRPMbottom","-14.676284790039062"
19651,"getRPMbottom","-10.096755981445312"
19703,"getRPMbottom","10.096755981445312"
19737,"getRPMbottom","9.701416015625"
19755,"getRPMbottom","12.23162841796875"
19769,"getRPMbottom","12.335617065429688"
19816,"getRPMbottom","11.34442138671875"
19852,"getRPMbottom","9.129104614257812"
19852,"getRPMbottom","5.53436279296875"
19914,"getRPMbottom","5.1358489990234375"
19915,"getRPMbottom","-5.68707275390625"
19934,"getRPMbottom","-14.344390869140625"
19959,"getRPMbottom","-19.58306884765625"
19983,"getRPMbottom","-40.68017578125"
20016,"getRPMbottom","-47.75120544433594"
20024,"getRPMbottom","-53.25770568847656"
20050,"getRPMbottom","-56.94476318359375"
20065,"getRPMbottom","-55.99066162109375"
20083,"getRPMbottom","-59.25529479980469"
20120,"getRPMbottom","-62.56549072265625"
20155,"getRPMbottom","-68.62593078613281"
20181,"getRPMbottom","-72.15786743164062"
20215,"getRPMbottom","-75.9993896484375"
20256,"getRPMbottom","-79.24949645996094"
20270,"getRPMbottom","-79.17185974121094"
20285,"getRPMbottom","-80.88406372070312"
20301,"getRPMbottom","-80.37696838378906"
20341,"getRPMbottom","-76.50743103027344"
20342,"getRPMbottom","-73.46391296386719"
20361,"getRPMbottom","-64.44960021972656"
20389,"getRPMbottom","-56.6893310546875"
20419,"getRPMbottom","-47.64457702636719"
20468,"getRPMbottom","-42.054351806640625"
20468,"getRPMbottom","-38.9129638671875"
20487,"getRPMbottom","-35.548919677734375"
20516,"getRPMbottom","-29.865219116210938"
20518,"getRPMbottom","-25.954498291015625"
20555,"getRPMbottom","-20.46746826171875"
20580,"getRPMbottom","-14.344161987304688"
20634,"getRPMbottom","-9.913619995117188"
20653,"getRPMbottom","2.9213104248046875"
20699,"getRPMbottom","4.77978515625"
20724,"getRPMbottom","-4.77978515625"
20751,"getRPMbottom","-8.716049194335938"
20782,"getRPMbottom","-13.670654296875"
20834,"getRPMbottom","-24.6102294921875"
20868,"getRPMbottom","-38.26414489746094"
